id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q102077694,Rodolfo Solano Quirós,male,1964-12-10,11,,,2021 Rodolfo Solano (51657366084) (cropped).jpg,Rodolfo Solano
Q217794,Abel Pacheco,male,1933-12-22,11,,,Defense.gov News Photo 050511-D-9880W-053 Abel Pacheco cropped.jpg,Abel Pacheco
Q26996246,Carlos Alvarado Quesada,male,1980-01-14,11,,,Carlos Alvarado Quesada Presidente de Costa Rica.jpg,Carlos Alvarado Quesada
Q52768193,Carolina Hidalgo Herrera,female,1982,9,,,Carolina-hidalgo-herrera 28174941148 o.jpg,Carolina Hidalgo Herrera
Q5384033,Epsy Campbell Barr,female,1963-07-04,11,,,Epsy Campbell Barr 2018 (cropped).jpg,Epsy Campbell Barr
Q55399795,Wagner Alberto Jiménez Zúñiga,male,,,,,,
Q55399796,Carmen Irene Chan Mora,female,,,,,,
Q55399797,Pablo Heriberto Abarca Mora,male,,,,,,
Q562577,Miguel Ángel Rodríguez Echeverría,male,1940-01-09,11,,,Мігель Анхель Родрігес Ечеверрія.jpg,Miguel Ángel Rodríguez
Q57321,Laura Chinchilla,female,1959-03-28,11,,,Chinchilla Adelante.jpg,Laura Chinchilla
Q5943676,José María Villalta Florez-Estrada,male,1977-08-13,11,,,Jose-maria-villalta-florez-estrada 27178225267 o.jpg,José María Villalta Florez-Estrada
Q5983599,Luis Guillermo Solís,male,1958-04-25,11,,,Presidente LuisGuillermoSolis LGS Despacho Retratos RCS 20141117 8021-1170x1638 (1).jpg,Luis Guillermo Solís
Q90622265,Nielsen Pérez,female,1966,9,,,Nielsen-perez-perez 42048489471 o.jpg,
Q90865537,Laura Guido Pérez,female,1985-10-25,11,,,Laura-guido-perez 42048503311 o.jpg,
Q90925743,Luis Ramón Carranza Cascante,male,1965-08-31,11,,,Luis-ramon-carranza-cascante 41328027684 o.jpg,
Q98017689,Rodrigo Alberto de Jesús Chaves Robles,male,1961-06-10,11,,,"Rodrigo Chaves, discurso posesión (cropped).jpg",Rodrigo Chaves Robles
