positionlabel,position
Agricultura y Ganadería,Q114704706
Ambiente y Energía,Q114704712
"Ciencia, Innovación, Tecnología y Telecomunicaciones",Q114704714
Comercio Exterior,Q114704750
Comunicación,Q114704824
Condición de la Mujer,Q114704849
Cultura y Juventud,Q114704788
Desarrollo Humano e Inclusión Social,Q114704865
"Economía, Industria y Comercio",Q114704797
Educación Pública,Q114704799
Hacienda,Q114704900
Justicia y Paz,Q114704800
Niñez y la Adolescencia,Q114704925
Obras Públicas y Transportes,Q114704807
Planificación Nacional y Política Económica,Q113971274
Relaciones Exteriores y Culto,Q6402752
Salud Pública,Q114704812
"Seguridad Pública, Gobernación y Policía",Q113971339
Trabajo y Seguridad Social,Q114704815
Turismo,Q113970716
Vivienda y Asentamientos Humanos,Q113971282
