item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q114704706,Minister of Agriculture and Livestock,Q16487080,Ministry of Agriculture and Livestock,,Q800,,,2
Q114704925,Minister of Childhood and Adolescence,,,Q800,Q800,,,1
Q114704824,Minister of Communication,,,Q800,Q800,,,1
Q114704788,"Minister of Culture, Youth and Sports of Costa Rica",Q5948682,"Ministry of Culture, Youth and Sports of Costa Rica",,Q800,,,1
Q114704797,"Minister of Economy, Industry and Commerce of Costa Rica",Q28501090,"Ministry of Economy, Industry and Commerce of Costa Rica",,Q800,,,1
Q114704712,Minister of Environment and Energy,Q6866896,Ministry of Environment and Energy,,Q800,,,1
Q114704900,Minister of Finance of Costa Rica,Q28501091,Ministry of Finance of Costa Rica,,Q800,,,1
Q6402752,Minister of Foreign Affairs,Q17144287,Ministry of Foreign Affairs and Worship of the Republic of Costa Rica,Q800,Q800,,,10
Q114704750,Minister of Foreign Trade,Q4294286,Ministry of Foreign Trade,,Q800,,,1
Q114704812,Minister of Health of Costa Rica,Q21001938,Ministry of Health of Costa Rica,,Q800,,,1
Q113971282,Minister of Housing and Human Settlements of Costa Rica,Q28663145,Ministry of Housing and Human Settlements of Costa Rica,,Q800,,,2
Q114704865,Minister of Human Development and Social Inclusion,,,Q800,Q800,,,1
Q114704800,Minister of Justice and Peace of Costa Rica,Q28501092,Ministry of Justice and Peace of Costa Rica,,Q800,,,1
Q114704815,Minister of Labor and Social Security of Costa Rica,Q6017465,Ministry of Labor and Social Security of Costa Rica,,Q800,,,1
Q113971274,Minister of National Planning and Economic Policy of Costa Rica,Q28663146,Ministry of National Planning and Economic Policy of Costa Rica,,Q800,,,2
Q114704799,Minister of Public Education,Q6017268,Ministry of Public Education,,Q800,,,1
Q113971339,Minister of Public Security of Costa Rica,Q25404214,Ministry of Public Security of Costa Rica,,Q800,,,2
Q114704807,Minister of Public Works and Transport,Q2838952,Ministry of Public Works and Transport,,Q800,,,1
Q114704714,"Minister of Science, Technology and Telecommunications of Costa Rica",Q29049291,"Ministry of Science, Technology and Telecommunications of Costa Rica",,Q800,,,1
Q113970675,Minister of Sport and Recreation of Costa Rica,Q21573154,Institute of Sport and Recreation of Costa Rica,,Q800,,,2
Q113970716,Minister of Tourism of Costa Rica,,,Q800,Q800,,,2
Q114704849,Minister of Women,,,Q800,Q800,,,1
Q52244184,Minister of the Presidency of Costa Rica,Q25404211,Ministry of the Presidency of Costa Rica,Q800,Q800,,,3
Q27977064,President of Costa Rica,,,Q800,Q800,1847,,42
Q7925043,Vice President of Costa Rica,,,Q800,Q800,1949,,14
