position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q6402752,Minister of Foreign Affairs,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q7925043,Vice President of Costa Rica,Q800,Costa Rica,Q800,Costa Rica,1949-11-07,,,,,,,,,
Q21328617,Member of the Legislative Assembly of Costa Rica,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q27977064,President of Costa Rica,Q800,Costa Rica,Q800,Costa Rica,1847-05-08,,,,,,Q7925043,Vice President of Costa Rica,Q504727,list of presidents of Costa Rica
Q30158527,ambassador of Costa Rica to Uruguay,Q800,Costa Rica,,,,,,,,,,,,
Q52244184,Minister of the Presidency of Costa Rica,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q107465234,ambassador of Costa Rica to Ecuador,Q800,Costa Rica,,,,,,,,,,,,
Q112146025,ambassador of Costa Rica to the Holy See,,,,,,,,,,,,,,
Q112146073,ambassador of Costa Rica to France,,,,,,,,,,,,,Q16656298,liste des ambassadeurs de Costa Rica en France
Q113969536,President of the Legislative Assembly of Costa Rica,,,,,,,,,,,,,Q6085545,list of presidents of the Legislative Assembly of Costa Rica
Q113970675,Minister of Sport and Recreation of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q113970716,Minister of Tourism of Costa Rica,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q113971274,Minister of National Planning and Economic Policy of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q113971282,Minister of Housing and Human Settlements of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q113971339,Minister of Public Security of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q114704706,Minister of Agriculture and Livestock,,,Q800,Costa Rica,,,,,,,,,,
Q114704712,Minister of Environment and Energy,,,Q800,Costa Rica,,,,,,,,,,
Q114704714,"Minister of Science, Technology and Telecommunications of Costa Rica",,,Q800,Costa Rica,,,,,,,,,,
Q114704750,Minister of Foreign Trade,,,Q800,Costa Rica,,,,,,,,,,
Q114704788,"Minister of Culture, Youth and Sports of Costa Rica",,,Q800,Costa Rica,,,,,,,,,,
Q114704797,"Minister of Economy, Industry and Commerce of Costa Rica",,,Q800,Costa Rica,,,,,,,,,,
Q114704799,Minister of Public Education,,,Q800,Costa Rica,,,,,,,,,,
Q114704800,Minister of Justice and Peace of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q114704807,Minister of Public Works and Transport,,,Q800,Costa Rica,,,,,,,,,,
Q114704812,Minister of Health of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q114704815,Minister of Labor and Social Security of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q114704824,Minister of Communication,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q114704849,Minister of Women,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q114704865,Minister of Human Development and Social Inclusion,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
Q114704900,Minister of Finance of Costa Rica,,,Q800,Costa Rica,,,,,,,,,,
Q114704925,Minister of Childhood and Adolescence,Q800,Costa Rica,Q800,Costa Rica,,,,,,,,,,
